ResponseID,CampaignID,CustomerID,EmailOpened,CouponUsed,PurchaseCompleted,PurchaseAmount,ResponseDate
1,36,1763,1,0,1,134.78,2025-10-30
2,32,4986,1,1,1,209.5,2025-09-15
3,34,1686,1,0,0,0.0,2026-03-08
4,7,2245,1,0,0,0.0,2025-04-14
5,36,3326,1,0,1,109.48,2025-08-20
6,38,3106,1,1,0,0.0,2025-05-02
7,9,3371,1,0,0,0.0,2026-02-14
8,38,1429,1,0,0,0.0,2026-05-11
9,26,682,1,1,0,0.0,2025-03-16
10,31,4389,1,1,1,153.54,2026-03-23
11,10,1306,1,0,0,0.0,2024-10-15
12,23,1759,1,0,0,0.0,2025-05-28
13,31,2565,1,0,1,131.88,2026-07-02
14,8,3423,1,0,0,0.0,2024-09-29
15,33,4541,1,0,0,0.0,2024-10-14
16,36,1544,1,1,0,0.0,2024-09-13
17,8,3047,1,1,1,241.57,2026-01-07
18,9,2475,1,1,0,0.0,2026-04-21
19,28,3801,1,1,0,0.0,2025-05-18
20,3,2950,1,0,0,0.0,2024-10-03
21,19,3318,1,1,1,78.62,2026-04-11
22,10,2695,1,1,1,106.79,2025-03-25
23,20,879,1,0,0,0.0,2025-01-28
24,13,2697,1,1,0,0.0,2026-07-19
25,17,1218,1,1,1,13.99,2026-04-22
26,17,3605,1,0,1,88.15,2025-08-31
27,4,69,1,1,0,0.0,2026-01-11
28,11,2007,1,1,1,24.64,2024-11-26
29,10,704,1,0,0,0.0,2024-11-05
30,35,4196,1,0,1,112.44,2026-02-07
31,18,2692,1,1,0,0.0,2026-05-31
32,13,3849,1,1,0,0.0,2025-08-18
33,2,1744,1,1,0,0.0,2025-10-05
34,21,4778,1,0,1,190.04,2026-06-17
35,15,3634,1,1,1,97.34,2025-02-04
36,21,4040,1,1,1,157.45,2025-11-24
37,24,3774,1,0,0,0.0,2025-03-10
38,38,2107,1,0,1,193.3,2025-01-15
39,25,3525,1,0,1,161.97,2025-06-28
40,21,715,1,1,1,65.2,2025-03-30
41,40,3224,1,0,0,0.0,2024-10-15
42,27,3852,1,1,0,0.0,2025-01-07
43,31,3474,1,1,0,0.0,2025-11-11
44,13,857,1,1,0,0.0,2026-03-15
45,21,1322,1,1,1,200.27,2026-02-24
46,18,86,1,1,0,0.0,2025-09-18
47,16,5000,1,0,0,0.0,2025-08-11
48,1,2941,1,1,1,77.25,2025-08-20
49,24,3963,1,1,0,0.0,2025-10-04
50,12,3729,1,1,0,0.0,2026-06-14
51,32,2893,1,1,0,0.0,2024-11-15
52,31,2463,1,1,0,0.0,2025-07-08
53,27,4491,1,0,0,0.0,2024-10-03
54,10,1393,1,1,0,0.0,2025-10-06
55,14,689,1,1,0,0.0,2025-09-18
56,5,2394,1,1,0,0.0,2024-11-06
57,29,2349,1,1,0,0.0,2026-01-25
